workload,predictor,trial,mode,threshold,alpha,top_k,total_accesses,l1_hit_rate,l2_hit_rate,l3_hit_rate,dram_access_rate,total_cycles,raw_memory_cycles,average_memory_latency,average_access_latency,top1_accuracy,topk_accuracy,prediction_attempts,prefetch_requests,prefetches_issued,prefetches_completed,dropped_prefetches,useful_prefetches,late_prefetches,unused_prefetches,duplicate_prefetches,prefetch_precision,prefetch_coverage,bandwidth_bytes,pollution_misses,cache_evictions_caused_by_prefetching,predictor_lookup_overhead,predictor_update_overhead,prefetch_overhead,latency_saved_by_useful_prefetches,net_latency_benefit,entries,nodes,edges,counters,weights,estimated_bytes,bytes_per_transition,speedup_over_none,speedup_over_nextline,speedup_over_stride,speedup_over_markov
LongerDependency,Markov-1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1445,436,4.0,13.256880733944953,0.8990825688073395,1.0,109,131,7,7,0,7,6,0,124,1.0,1.0,56,0,0,109,0,7,146,146,8,7,8,8,8,192,24.0,1.0089965397923875,0.9820069204152249,1.0844290657439446,1.0
LongerDependency,WAM depth=1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1445,436,4.0,13.256880733944953,0.8990825688073395,1.0,109,131,7,7,0,7,6,0,124,1.0,1.0,56,0,0,109,0,7,146,146,7,8,7,7,7,168,24.0,1.0089965397923875,0.9820069204152249,1.0844290657439446,1.0
LongerDependency,WAM depth=2,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1554,436,4.0,14.256880733944953,0.8990825688073395,1.0,109,131,7,7,0,7,6,0,124,1.0,1.0,56,0,0,218,0,7,146,146,15,16,15,15,15,360,24.0,0.9382239382239382,0.9131274131274131,1.0083655083655083,0.9298584298584298
LongerDependency,WAM depth=3,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1663,436,4.0,15.256880733944953,0.8990825688073395,1.0,109,131,7,7,0,7,6,0,124,1.0,1.0,56,0,0,327,0,7,146,146,24,25,24,24,24,576,24.0,0.8767288033674083,0.8532772098616958,0.9422730006013229,0.8689116055321707
LongerDependency,WAM depth=4,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,1922,436,4.0,17.63302752293578,1.0,1.0,109,109,7,7,0,7,7,0,102,1.0,1.0,56,0,0,436,0,7,0,0,34,35,34,34,34,816,24.0,0.7585848074921956,0.7382934443288242,0.8152965660770031,0.7518210197710719
LongerDependency,WAM depth=8,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,2358,436,4.0,21.63302752293578,1.0,1.0,109,109,7,7,0,7,7,0,102,1.0,1.0,56,0,0,872,0,7,0,0,74,75,74,74,74,1776,24.0,0.6183206106870229,0.6017811704834606,0.6645462256149279,0.6128074639525021
Probabilistic,None,0,train_test,0.05,0.25,3,109,0.963302752293578,0.0,0.0,0.03669724770642202,1020,1020,9.357798165137615,9.357798165137615,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.9735294117647059,1.1068627450980393,0.9754901960784313
Probabilistic,NextLine,0,train_test,0.05,0.25,3,109,0.9908256880733946,0.0,0.0,0.009174311926605505,993,582,5.339449541284404,9.110091743119266,0.5688073394495413,0.5688073394495413,109,109,4,4,0,3,2,1,105,0.75,0.75,32,0,0,109,0,4,146,145,0,0,0,0,0,0,0.0,1.027190332326284,1.0,1.1369587109768378,1.002014098690836
Probabilistic,Stride,0,train_test,0.05,0.25,3,109,0.963302752293578,0.0,0.0,0.03669724770642202,1129,1020,9.357798165137615,10.357798165137615,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,109,0,0,0,0,1,1,1,1,0,16,16.0,0.9034543844109831,0.8795394154118689,1.0,0.8813108945969885
Probabilistic,Markov-1,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,995,436,4.0,9.128440366972477,0.8990825688073395,1.0,109,146,4,4,0,4,3,0,142,1.0,1.0,32,0,0,109,0,4,146,146,5,4,5,5,5,120,24.0,1.0251256281407035,0.9979899497487437,1.1346733668341709,1.0
