workload,selector,granularity,windows,speedup,selected_gmc_fraction,selected_wam_fraction,selector_bytes,lookup_cycles,update_traffic,overhead_cycles,wam_activation_rate,selection_note
binary_tree_size65536_seed1_loads,StaticPerWorkloadOracle,per_access,3,1.2068058778035575,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed2_loads,StaticPerWorkloadOracle,per_access,3,1.0510093829968723,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed3_loads,StaticPerWorkloadOracle,per_access,3,1.0249602754237288,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed4_loads,StaticPerWorkloadOracle,per_access,3,1.0617765423391279,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed0_loads,StaticPerWorkloadOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed1_loads,StaticPerWorkloadOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed2_loads,StaticPerWorkloadOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed3_loads,StaticPerWorkloadOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed4_loads,StaticPerWorkloadOracle,per_access,3,1.2163678949221561,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed0_loads,StaticPerWorkloadOracle,per_access,3,1.0313633725148745,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed1_loads,StaticPerWorkloadOracle,per_access,3,1.0313633725148745,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed2_loads,StaticPerWorkloadOracle,per_access,3,1.0313633725148745,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed3_loads,StaticPerWorkloadOracle,per_access,3,1.0313633725148745,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed4_loads,StaticPerWorkloadOracle,per_access,3,1.0313633725148745,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed0_loads,StaticPerWorkloadOracle,per_access,3,0.9995890932149651,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed1_loads,StaticPerWorkloadOracle,per_access,3,0.9995890932149651,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed2_loads,StaticPerWorkloadOracle,per_access,3,0.9999821712830309,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed3_loads,StaticPerWorkloadOracle,per_access,3,0.9996450016228497,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
hash_table_size65536_seed4_loads,StaticPerWorkloadOracle,per_access,3,0.9999231041323839,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed0_loads,StaticPerWorkloadOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed1_loads,StaticPerWorkloadOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed2_loads,StaticPerWorkloadOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed3_loads,StaticPerWorkloadOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
linked_list_size65536_seed4_loads,StaticPerWorkloadOracle,per_access,3,4.017857142857143,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
matrix_scan_size512_seed0_loads,StaticPerWorkloadOracle,per_access,3,2.2738886050076648,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed0_loads,StaticPerWorkloadOracle,per_access,3,1.262345080478818,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed1_loads,StaticPerWorkloadOracle,per_access,3,1.262345080478818,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed2_loads,StaticPerWorkloadOracle,per_access,3,1.3200158846676855,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed3_loads,StaticPerWorkloadOracle,per_access,3,1.3422763388711176,0.6666666666666666,0.3333333333333333,128,3,6,3,0.3333333333333333,per_access uses finest available replay window as a conservative proxy
pointer_chase_size65536_seed4_loads,StaticPerWorkloadOracle,per_access,3,1.6784406379208505,0.3333333333333333,0.6666666666666666,128,3,6,3,0.6666666666666666,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed0_loads,StaticPerWorkloadOracle,per_access,3,1.027635876392262,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed1_loads,StaticPerWorkloadOracle,per_access,3,1.027635876392262,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed2_loads,StaticPerWorkloadOracle,per_access,3,1.968449044128216,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed3_loads,StaticPerWorkloadOracle,per_access,3,1.4187677408582402,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
quicksort_size65536_seed4_loads,StaticPerWorkloadOracle,per_access,3,1.2208004761196252,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
stride_size524288_seed0_loads,StaticPerWorkloadOracle,per_access,3,7.216494845360825,1.0,0.0,128,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
