workload,category,window,window_index,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
graph_dfs_size16384_seed0_loads,graph,100,1,0.5,0.5,0.0,0.8,0,0,4,4
graph_dfs_size16384_seed0_loads,graph,100,2,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed0_loads,graph,500,0,0.4827586206896552,0.5172413793103449,0.0,0.91,0,0,29,29
graph_dfs_size16384_seed0_loads,graph,500,1,0.48148148148148145,0.5185185185185185,0.0,0.914,0,0,27,27
graph_dfs_size16384_seed0_loads,graph,500,2,0.48,0.52,0.0,0.918,0,0,25,25
graph_dfs_size16384_seed0_loads,graph,1000,0,0.5161290322580645,0.4838709677419355,0.0,0.922,0,0,62,62
graph_dfs_size16384_seed0_loads,graph,1000,1,0.5102040816326531,0.4897959183673469,0.0,0.935,0,0,49,49
graph_dfs_size16384_seed0_loads,graph,1000,2,0.5,0.5,0.0,0.914,0,0,70,70
graph_dfs_size16384_seed1_loads,graph,100,0,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed1_loads,graph,100,1,0.5,0.5,0.0,0.8,0,0,4,4
graph_dfs_size16384_seed1_loads,graph,100,2,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed1_loads,graph,500,0,0.4827586206896552,0.5172413793103449,0.0,0.91,0,0,29,29
graph_dfs_size16384_seed1_loads,graph,500,1,0.48148148148148145,0.5185185185185185,0.0,0.914,0,0,27,27
graph_dfs_size16384_seed1_loads,graph,500,2,0.48,0.52,0.0,0.918,0,0,25,25
graph_dfs_size16384_seed1_loads,graph,1000,0,0.5161290322580645,0.4838709677419355,0.0,0.922,0,0,62,62
graph_dfs_size16384_seed1_loads,graph,1000,1,0.5102040816326531,0.4897959183673469,0.0,0.935,0,0,49,49
graph_dfs_size16384_seed1_loads,graph,1000,2,0.5,0.5,0.0,0.914,0,0,70,70
graph_dfs_size16384_seed2_loads,graph,100,0,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed2_loads,graph,100,1,0.5,0.5,0.0,0.8,0,0,4,4
graph_dfs_size16384_seed2_loads,graph,100,2,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed2_loads,graph,500,0,0.4827586206896552,0.5172413793103449,0.0,0.91,0,0,29,29
graph_dfs_size16384_seed2_loads,graph,500,1,0.48148148148148145,0.5185185185185185,0.0,0.914,0,0,27,27
graph_dfs_size16384_seed2_loads,graph,500,2,0.48,0.52,0.0,0.918,0,0,25,25
graph_dfs_size16384_seed2_loads,graph,1000,0,0.5161290322580645,0.4838709677419355,0.0,0.922,0,0,62,62
graph_dfs_size16384_seed2_loads,graph,1000,1,0.5102040816326531,0.4897959183673469,0.0,0.935,0,0,49,49
graph_dfs_size16384_seed2_loads,graph,1000,2,0.5,0.5,0.0,0.914,0,0,70,70
graph_dfs_size16384_seed3_loads,graph,100,0,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed3_loads,graph,100,1,0.5,0.5,0.0,0.8,0,0,4,4
graph_dfs_size16384_seed3_loads,graph,100,2,0.5,0.5,0.0,0.78,0,0,6,6
graph_dfs_size16384_seed3_loads,graph,500,0,0.4827586206896552,0.5172413793103449,0.0,0.91,0,0,29,29
graph_dfs_size16384_seed3_loads,graph,500,1,0.48148148148148145,0.5185185185185185,0.0,0.914,0,0,27,27
graph_dfs_size16384_seed3_loads,graph,500,2,0.48,0.52,0.0,0.918,0,0,25,25
graph_dfs_size16384_seed3_loads,graph,1000,0,0.5161290322580645,0.4838709677419355,0.0,0.922,0,0,62,62
