workload,category,window,window_index,window_accesses,gmc_speedup,wam_speedup,difference,winner,margin,gmc_cycles,wam_cycles,baseline_cycles,gmc_confidence,wam_confidence,gmc_start_confidence,wam_start_confidence,gmc_accuracy,wam_accuracy,gmc_prefetch_precision,wam_prefetch_precision,gmc_coverage,wam_coverage,gmc_late_prefetch_rate,wam_late_prefetch_rate,gmc_cache_pollution,wam_cache_pollution,gmc_bandwidth_bytes,wam_bandwidth_bytes,gmc_useful_rate,wam_useful_rate,gmc_storage_bytes,wam_storage_bytes,context_reuse_depth16,context_entropy_depth1,context_entropy_depth16,entropy_reduction,h16_contexts,stride_stability,delta_entropy,sequential_fraction,unique_lines,mean_reuse_distance,median_reuse_distance,same_address_fraction,history_length,context_reuse_observations,offset,h1_oracle_accuracy,h8_oracle_accuracy,h16_oracle_accuracy,h32_oracle_accuracy,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
hash_table_size65536_seed4_loads,hash,100,1,100,0.9998584171032139,1.009073372865614,0.009214955762400168,WAM,0.009214955762400168,14126,13997,14124,0.06,0.235,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.02,0.19,0.0,0.0,0,0,16,152,0.0,0.05263157894736842,8192,1882824,0.01,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.0,94.0,228.25,1.0,0.06060606060606061,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.19,0,0,2,2
hash_table_size65536_seed4_loads,hash,100,2,100,0.9994345262137491,0.9987890530394768,-0.0006454731742722153,GMC-style,0.0006454731742722153,12379,12387,12372,0.18,0.25166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.0,0.0,0,0,56,120,0.0,0.0,8192,1882824,0.01,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.020202020202020204,82.0,221.9185667752443,1,0.18181818181818182,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.14,0,0,15,15
hash_table_size65536_seed4_loads,hash,500,0,500,1.0017069152331053,0.9984465847055168,-0.003260330527588451,GMC-style,0.003260330527588451,67373,67593,67488,0.098,0.23773333333333332,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.046,0.194,0.0,0.0,0,1,184,776,0.043478260869565216,0.0,8192,1882824,0.002,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.004008016032064128,448.0,319.6798941798942,1.0,0.09619238476953908,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.032,0.2,0,0,33,33
hash_table_size65536_seed4_loads,hash,500,1,500,0.999669996699967,1.000480393923017,0.0008103972230498746,WAM,0.0008103972230498746,66666,66612,66644,0.1,0.24322222222222223,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.044,0.212,0.0,0.0,0,2,176,848,0.0,0.009433962264150943,8192,1882824,0.002,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.008016032064128256,442.0,303.0182291666667,1.0,0.10020040080160321,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.028,0.208,0,0,31,31
hash_table_size65536_seed4_loads,hash,500,2,500,0.9995232016241906,0.9983715356725865,-0.0011516659516040972,GMC-style,0.0011516659516040972,65017,65092,64986,0.13,0.26795238095238094,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.212,0.0,0.0,0,4,248,848,0.0,0.0,8192,1882824,0.002,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.018036072144288578,431.0,308.0251256281407,1.0,0.13026052104208416,5000.0,501.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.032,0.208,0,0,49,49
hash_table_size65536_seed4_loads,hash,1000,0,1000,1.0006479399321568,1.0005564151619322,-9.152477022467131e-05,GMC-style,9.152477022467131e-05,131185,131197,131270,0.111,0.27195,0.0,0.0,0.0,0.0,0.018867924528301886,0.009478672985781991,0.053,0.211,0.0,0.0,0,5,424,1688,0.018867924528301886,0.009478672985781991,8192,1882824,0.001,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.005005005005005005,869.0,398.5221774193548,1.0,0.1091091091091091,5000.0,1001.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.217,0,0,84,84
hash_table_size65536_seed4_loads,hash,1000,1,1000,0.9995870612525809,0.9993807197412785,-0.0002063415113023881,GMC-style,0.0002063415113023881,130770,130797,130716,0.109,0.2597777777777778,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.054,0.219,0.0,0.0,0,5,432,1752,0.0,0.0045662100456621,8192,1882824,0.001,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.008008008008008008,864.0,405.349609375,1.0,0.10810810810810811,5000.0,1001.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034,0.221,0,0,70,70
hash_table_size65536_seed4_loads,hash,1000,2,1000,0.9995475113122172,0.9983869585206773,-0.001160552791539926,GMC-style,0.001160552791539926,128180,128329,128122,0.135,0.26489285714285715,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.066,0.207,0.0,0.0,0,9,528,1656,0.015151515151515152,0.0,8192,1882824,0.001,0.17228740456049085,0.0,0.17228740456049085,4999.0,0.09304652326163082,10.164401241074982,0.018018018018018018,847.0,382.7586206896552,1.0,0.13413413413413414,5000.0,1001.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041,0.208,0,0,94,94
linked_list_size65536_seed0_loads,pointer_chasing,100,0,100,2.8164116828929067,1.0,-1.8164116828929067,GMC-style,1.8164116828929067,1438,4050,4050,1.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.21,0.0,0.3333333333333333,0.0,0,0,168,0,1.0,0.0,976,1731552,0.01,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24242424242424243,25.0,1,1,0.7575757575757576,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0,0,0,0
linked_list_size65536_seed0_loads,pointer_chasing,100,1,100,2.8164116828929067,1.0,-1.8164116828929067,GMC-style,1.8164116828929067,1438,4050,4050,0.99,0.0,1.0,0.0,0.7380952380952381,0.0,1.0,0.0,0.21,0.0,0.3333333333333333,0.0,0,0,168,0,1.0,0.0,976,1731552,0.01,0.8106291019595655,0.0,0.8106291019595655,4999.0,0.7503751875937968,0.810682924459406,0.24242424242424243,25.0,1,1,0.7575757575757576,5000.0,101.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0,0,0,0
