trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold
453.povray-576B,support,12,15,0.01283147989734816,not_applicable,not_applicable
453.povray-576B,support,13,28,0.023952095808383235,not_applicable,not_applicable
453.povray-576B,support,14,25,0.0213857998289136,not_applicable,not_applicable
453.povray-576B,support,15,33,0.028229255774165955,not_applicable,not_applicable
453.povray-576B,support,16,748,0.6398631308810949,not_applicable,not_applicable
454.calculix-104B,confidence,0,0,0.0,8,not_applicable
454.calculix-104B,confidence,1,0,0.0,8,not_applicable
454.calculix-104B,confidence,2,0,0.0,8,not_applicable
454.calculix-104B,confidence,3,0,0.0,8,not_applicable
454.calculix-104B,confidence,4,0,0.0,8,not_applicable
454.calculix-104B,confidence,5,0,0.0,8,not_applicable
454.calculix-104B,confidence,6,0,0.0,8,not_applicable
454.calculix-104B,confidence,7,0,0.0,8,not_applicable
454.calculix-104B,confidence,8,0,0.0,8,not_applicable
454.calculix-104B,confidence,9,0,0.0,8,not_applicable
454.calculix-104B,confidence,10,0,0.0,8,not_applicable
454.calculix-104B,confidence,11,0,0.0,8,not_applicable
454.calculix-104B,confidence,12,0,0.0,8,not_applicable
454.calculix-104B,confidence,13,0,0.0,8,not_applicable
454.calculix-104B,confidence,14,0,0.0,8,not_applicable
454.calculix-104B,confidence,15,0,0.0,8,not_applicable
454.calculix-104B,support,0,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,1,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,2,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,3,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,4,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,5,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,6,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,7,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,8,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,9,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,10,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,11,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,12,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,13,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,14,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,15,0,0.0,not_applicable,not_applicable
454.calculix-104B,support,16,0,0.0,not_applicable,not_applicable
465.tonto-44B,confidence,0,12,0.07453416149068323,8,0.0
465.tonto-44B,confidence,1,146,0.906832298136646,8,0.0
465.tonto-44B,confidence,2,3,0.018633540372670808,8,0.0
465.tonto-44B,confidence,3,0,0.0,8,0.0
465.tonto-44B,confidence,4,0,0.0,8,0.0
465.tonto-44B,confidence,5,0,0.0,8,0.0
465.tonto-44B,confidence,6,0,0.0,8,0.0
465.tonto-44B,confidence,7,0,0.0,8,0.0
465.tonto-44B,confidence,8,0,0.0,8,0.0
465.tonto-44B,confidence,9,0,0.0,8,0.0
465.tonto-44B,confidence,10,0,0.0,8,0.0
465.tonto-44B,confidence,11,0,0.0,8,0.0
465.tonto-44B,confidence,12,0,0.0,8,0.0
465.tonto-44B,confidence,13,0,0.0,8,0.0
465.tonto-44B,confidence,14,0,0.0,8,0.0
465.tonto-44B,confidence,15,0,0.0,8,0.0
465.tonto-44B,support,0,0,0.0,not_applicable,not_applicable
465.tonto-44B,support,1,0,0.0,not_applicable,not_applicable
465.tonto-44B,support,2,54,0.33540372670807456,not_applicable,not_applicable
465.tonto-44B,support,3,9,0.055900621118012424,not_applicable,not_applicable
465.tonto-44B,support,4,34,0.2111801242236025,not_applicable,not_applicable
465.tonto-44B,support,5,18,0.11180124223602485,not_applicable,not_applicable
465.tonto-44B,support,6,21,0.13043478260869565,not_applicable,not_applicable
465.tonto-44B,support,7,8,0.049689440993788817,not_applicable,not_applicable
465.tonto-44B,support,8,4,0.024844720496894408,not_applicable,not_applicable
465.tonto-44B,support,9,2,0.012422360248447204,not_applicable,not_applicable
465.tonto-44B,support,10,1,0.006211180124223602,not_applicable,not_applicable
465.tonto-44B,support,11,3,0.018633540372670808,not_applicable,not_applicable
465.tonto-44B,support,12,2,0.012422360248447204,not_applicable,not_applicable
465.tonto-44B,support,13,2,0.012422360248447204,not_applicable,not_applicable
465.tonto-44B,support,14,3,0.018633540372670808,not_applicable,not_applicable
465.tonto-44B,support,15,0,0.0,not_applicable,not_applicable
465.tonto-44B,support,16,0,0.0,not_applicable,not_applicable
