trace,phase,depth,horizon,train_examples,evaluation_examples,reusable_evaluation_examples,oracle_top1_accuracy,coverage,evaluation_context_reuse
447.dealII-3B,measurement_70_30,2,1,11006,4717,4261,0.9777047641398733,0.9033283866864532,0.9033283866864532
447.dealII-3B,measurement_70_30,2,4,11003,4714,4260,0.961737089201878,0.903691132795927,0.903691132795927
447.dealII-3B,measurement_70_30,2,8,10999,4710,4259,0.9502230570556469,0.9042462845010616,0.9042462845010616
447.dealII-3B,measurement_70_30,2,16,10991,4702,4259,0.9333176802066213,0.9057847724372607,0.9057847724372607
447.dealII-3B,measurement_70_30,2,32,10975,4686,4258,0.9074682949741663,0.9086641058472045,0.9086641058472045
447.dealII-3B,measurement_70_30,4,1,11004,4717,4140,0.9917874396135266,0.8776764892940428,0.8776764892940428
447.dealII-3B,measurement_70_30,4,4,11001,4714,4140,0.9806763285024155,0.8782350445481545,0.8782350445481545
447.dealII-3B,measurement_70_30,4,8,10997,4710,4140,0.971256038647343,0.8789808917197452,0.8789808917197452
447.dealII-3B,measurement_70_30,4,16,10989,4702,4140,0.9555555555555556,0.880476393024245,0.880476393024245
447.dealII-3B,measurement_70_30,4,32,10973,4686,4140,0.9289855072463769,0.8834827144686299,0.8834827144686299
447.dealII-3B,measurement_70_30,8,1,11000,4717,4056,0.9958086785009862,0.8598685605257579,0.8598685605257579
447.dealII-3B,measurement_70_30,8,4,10997,4714,4056,0.9886587771203156,0.8604157827747136,0.8604157827747136
447.dealII-3B,measurement_70_30,8,8,10993,4710,4056,0.9800295857988166,0.8611464968152867,0.8611464968152867
447.dealII-3B,measurement_70_30,8,16,10985,4702,4056,0.9649901380670611,0.8626116546150574,0.8626116546150574
447.dealII-3B,measurement_70_30,8,32,10969,4686,4056,0.9403353057199211,0.8655569782330346,0.8655569782330346
447.dealII-3B,measurement_70_30,16,1,10992,4717,3968,0.9964717741935484,0.8412126351494594,0.8412126351494594
447.dealII-3B,measurement_70_30,16,4,10989,4714,3968,0.9899193548387096,0.841747984726347,0.841747984726347
447.dealII-3B,measurement_70_30,16,8,10985,4710,3968,0.9828629032258065,0.8424628450106157,0.8424628450106157
447.dealII-3B,measurement_70_30,16,16,10977,4702,3968,0.9692540322580645,0.8438962143768609,0.8438962143768609
447.dealII-3B,measurement_70_30,16,32,10961,4686,3968,0.9458165322580645,0.8467776355100298,0.8467776355100298
453.povray-576B,measurement_70_30,1,1,51424,22039,20715,0.6419985517740767,0.939924678978175,0.939924678978175
453.povray-576B,measurement_70_30,1,4,51421,22036,20715,0.4548394882935071,0.9400526411326919,0.9400526411326919
453.povray-576B,measurement_70_30,1,8,51417,22032,20713,0.3801477333075846,0.9401325344952796,0.9401325344952796
453.povray-576B,measurement_70_30,1,16,51409,22024,20710,0.2957991308546596,0.9403378132945878,0.9403378132945878
453.povray-576B,measurement_70_30,1,32,51393,22008,20709,0.2072528852189869,0.9409760087241004,0.9409760087241004
