workload,system,horizon,mean_lead_time,median_lead_time,mean_slack,median_slack,late_rate,cycles_hidden,fully_hidden,partially_hidden,unhidden
LongerDependency,Oracle,2,63.6,6,-86.4,-144,0.6,296,2,3,2
LongerDependency,DirectWAM,2,70.0,14,-80.0,-136,0.6,320,2,3,2
LongerDependency,RecursiveWAM,2,70.0,14,-80.0,-136,0.6,320,2,3,2
LongerDependency,DirectMarkov,2,70.0,14,-80.0,-136,0.6,320,2,3,2
LongerDependency,Oracle,4,256.6666666666667,305,106.66666666666667,155,0.3333333333333333,301,2,1,4
LongerDependency,DirectWAM,4,280.6666666666667,329,130.66666666666666,179,0.3333333333333333,325,2,1,4
LongerDependency,RecursiveWAM,4,280.6666666666667,329,130.66666666666666,179,0.3333333333333333,325,2,1,4
LongerDependency,DirectMarkov,4,280.6666666666667,329,130.66666666666666,179,0.3333333333333333,325,2,1,4
LongerDependency,Oracle,8,384.5,467,234.5,317,0.0,292,2,0,5
LongerDependency,DirectWAM,8,420.5,523,270.5,373,0.0,292,2,0,5
LongerDependency,RecursiveWAM,8,420.5,523,270.5,373,0.0,292,2,0,5
LongerDependency,DirectMarkov,8,420.5,523,270.5,373,0.0,292,2,0,5
LongerDependency,Oracle,16,79.0,1,-71.0,-149,0.75,146,1,0,6
LongerDependency,DirectWAM,16,89.0,1,-61.0,-149,0.75,146,1,0,6
LongerDependency,RecursiveWAM,16,89.0,1,-61.0,-149,0.75,146,1,0,6
LongerDependency,DirectMarkov,16,89.0,1,-61.0,-149,0.75,146,1,0,6
LongerDependency,Oracle,32,63.6,6,-86.4,-144,0.6,296,2,3,2
LongerDependency,DirectWAM,32,70.0,14,-80.0,-136,0.6,320,2,3,2
LongerDependency,RecursiveWAM,32,70.0,14,-80.0,-136,0.6,320,2,3,2
LongerDependency,DirectMarkov,32,70.0,14,-80.0,-136,0.6,320,2,3,2
Probabilistic,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,4
Probabilistic,DirectWAM,1,37.0,1,-113.0,-149,1.0,105,0,1,3
Probabilistic,RecursiveWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,4
Probabilistic,DirectMarkov,1,37.0,1,-113.0,-149,1.0,105,0,1,3
Probabilistic,Oracle,2,78.0,151,-72.0,1,0.5,147,1,1,2
Probabilistic,DirectWAM,2,140.5,160,-9.5,10,0.5,263,1,1,2
Probabilistic,RecursiveWAM,2,159.0,159,9.0,9,0.0,146,1,0,3
Probabilistic,DirectMarkov,2,140.5,160,-9.5,10,0.5,263,1,1,2
Probabilistic,Oracle,4,5.0,1,-145.0,-149,1.0,9,0,1,3
Probabilistic,DirectWAM,4,37.0,1,-113.0,-149,1.0,105,0,1,3
Probabilistic,RecursiveWAM,4,1.0,1,-149.0,-149,1.0,0,0,0,4
Probabilistic,DirectMarkov,4,37.0,1,-113.0,-149,1.0,105,0,1,3
Probabilistic,Oracle,8,90.0,151,-60.0,1,0.5,171,1,1,2
Probabilistic,DirectWAM,8,140.5,160,-9.5,10,0.5,263,1,1,2
Probabilistic,RecursiveWAM,8,159.0,159,9.0,9,0.0,146,1,0,3
Probabilistic,DirectMarkov,8,140.5,160,-9.5,10,0.5,263,1,1,2
Probabilistic,Oracle,16,9.0,1,-141.0,-149,1.0,21,0,1,3
Probabilistic,DirectWAM,16,37.0,1,-113.0,-149,1.0,105,0,1,3
Probabilistic,RecursiveWAM,16,1.0,1,-149.0,-149,1.0,0,0,0,4
Probabilistic,DirectMarkov,16,37.0,1,-113.0,-149,1.0,105,0,1,3
Probabilistic,Oracle,32,90.0,151,-60.0,1,0.5,171,1,1,2
Probabilistic,DirectWAM,32,140.5,160,-9.5,10,0.5,263,1,1,2
Probabilistic,RecursiveWAM,32,159.0,159,9.0,9,0.0,146,1,0,3
Probabilistic,DirectMarkov,32,140.5,160,-9.5,10,0.5,263,1,1,2
PhaseChanging,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,DirectWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,RecursiveWAM,1,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,DirectMarkov,1,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,Oracle,2,151.0,151,1.0,1,0.0,146,1,0,2
PhaseChanging,DirectWAM,2,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,RecursiveWAM,2,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,DirectMarkov,2,159.0,159,9.0,9,0.0,146,1,0,2
PhaseChanging,Oracle,4,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,DirectWAM,4,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,RecursiveWAM,4,1.0,1,-149.0,-149,1.0,0,0,0,3
PhaseChanging,DirectMarkov,4,1.0,1,-149.0,-149,1.0,0,0,0,3
