workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,predictor_latency,mode
Contextual,Markov-N,16,3360,23629,16.409027777777776,0.27466249100681367,1.0,0.5,146,0.0,17280,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,12,serial
Contextual,DirectWAM-H8,8,3360,29353,20.384027777777778,0.2211017613191156,1.0,0.6666666666666666,180,0.0,23040,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,16,serial
Contextual,DirectWAM-H16,16,3360,29389,20.409027777777776,0.2208309231345061,1.0,0.5,146,0.0,23040,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,16,serial
Contextual,RecursiveWAM,16,3360,29389,20.409027777777776,0.2208309231345061,1.0,0.5,146,0.0,23040,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,16,serial
Contextual,Markov-N,16,3360,29389,20.409027777777776,0.2208309231345061,1.0,0.5,146,0.0,23040,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,16,serial
Contextual,DirectWAM-H8,8,3360,40857,28.372916666666665,0.15884670925422817,1.0,0.6666666666666666,196,0.0,34560,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,24,serial
Contextual,DirectWAM-H16,16,3360,40909,28.409027777777776,0.15864479698843775,1.0,0.5,146,0.0,34560,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,24,serial
Contextual,RecursiveWAM,16,3360,40909,28.409027777777776,0.15864479698843775,1.0,0.5,146,0.0,34560,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,24,serial
Contextual,Markov-N,16,3360,40909,28.409027777777776,0.15864479698843775,1.0,0.5,146,0.0,34560,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,24,serial
Contextual,DirectWAM-H8,8,3360,52361,36.361805555555556,0.12394721262007984,1.0,0.6666666666666666,212,0.0,46080,0,0.0,0,0,0,0,1440,3,24,1128,1.0228526398739164,0.0,0.0,,,,32,serial
Contextual,DirectWAM-H16,16,3360,52429,36.40902777777778,0.12378645406168343,1.0,0.5,146,0.0,46080,0,0.0,0,0,0,0,1440,2,16,2280,1.0222082217672075,0.0,0.0,,,,32,serial
Contextual,RecursiveWAM,16,3360,52429,36.40902777777778,0.12378645406168343,1.0,0.5,146,0.0,46080,0,0.0,0,0,0,0,1440,2,16,552,1.0222082217672075,0.0,0.0,,,,32,serial
Contextual,Markov-N,16,3360,52429,36.40902777777778,0.12378645406168343,1.0,0.5,146,0.0,46080,0,0.0,0,0,0,0,1440,2,16,216,1.0222082217672075,0.0,0.0,,,,32,serial
LongerDependency,DirectWAM-H8,8,3360,6492,4.508333333333334,1.0446703635243377,1.0,0.0,292,1.0,0,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,0,serial
LongerDependency,DirectWAM-H16,16,3360,6649,4.617361111111111,1.0200030079711235,1.0,0.75,146,1.0,0,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,0,serial
LongerDependency,RecursiveWAM,16,3360,6649,4.617361111111111,1.0200030079711235,1.0,0.75,146,1.0,0,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,0,serial
LongerDependency,Markov-N,16,3360,6649,4.617361111111111,1.0200030079711235,1.0,0.75,146,1.0,0,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,0,serial
LongerDependency,DirectWAM-H8,8,3360,7932,5.508333333333334,0.8550176500252143,1.0,0.0,292,0.0,1440,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,1,serial
LongerDependency,DirectWAM-H16,16,3360,8089,5.617361111111111,0.8384225491408085,1.0,0.75,146,0.0,1440,0,0.0,0,0,0,0,1440,4,32,3696,1.0200030079711235,0.0,0.0,,,,1,serial
LongerDependency,RecursiveWAM,16,3360,8089,5.617361111111111,0.8384225491408085,1.0,0.75,146,0.0,1440,0,0.0,0,0,0,0,1440,4,32,816,1.0200030079711235,0.0,0.0,,,,1,serial
LongerDependency,Markov-N,16,3360,8089,5.617361111111111,0.8384225491408085,1.0,0.75,146,0.0,1440,0,0.0,0,0,0,0,1440,4,32,312,1.0200030079711235,0.0,0.0,,,,1,serial
LongerDependency,DirectWAM-H8,8,3360,9372,6.508333333333334,0.7236448997012377,1.0,0.0,292,0.0,2880,0,0.0,0,0,0,0,1440,2,16,1776,1.0446703635243377,0.0,0.0,,,,2,serial
