workload,predictor,budget_bytes,storage_bytes,accuracy,speedup,coverage,within_budget,category,horizon,train_fraction,trace_length,prefetch_precision,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,cycles_hidden,predictor_overhead,fraction_of_ideal_gain,prediction_attempts,wrong_predictions
graph_bfs_size65536_seed0_loads,GMC,2048,2048,0.1681109185441941,1.1105408391853298,0.6886666666666666,True,graph,16,0.7,5000,0.1355275895450145,0.0,1558.7071428571428,1408.7071428571428,148,8264,110.40866666666666,165613,20440,0,0.7116312387411439,1154,960
graph_bfs_size65536_seed0_loads,HashedContext-H16,4096,4224,0.0,0.9996956124711919,0.548,True,graph,16,0.7,5000,0.0072992700729927005,0.0,1771.8333333333333,1621.8333333333333,19,6576,122.65066666666667,183976,876,0,0.0,1484,1484
graph_bfs_size65536_seed0_loads,Markov-N-H16,4096,4096,0.0,0.9999293220901089,0.008666666666666666,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,104,122.622,183933,0,0,0.0,15,15
graph_bfs_size65536_seed0_loads,VLDP,4096,4096,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,SPP,4096,4096,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,GMC,4096,4096,0.1681109185441941,1.1105274280711288,0.69,True,graph,16,0.7,5000,0.13526570048309178,0.0,1558.7071428571428,1408.7071428571428,148,8280,110.41,165615,20440,0,0.7115449017105763,1154,960
graph_bfs_size65536_seed0_loads,HashedContext-H16,8192,8320,0.0,1.001933919864898,0.6393333333333333,True,graph,16,0.7,5000,0.009384775808133473,0.0,2326.6666666666665,2176.6666666666665,58,7672,122.37666666666667,183565,1314,0,0.012450039272599528,1484,1484
graph_bfs_size65536_seed0_loads,Markov-N-H16,8192,8192,0.07407407407407407,1.001464734741439,0.015333333333333332,True,graph,16,0.7,5000,0.08695652173913043,0.0,1232.0,1082.0,1,184,122.434,183651,292,0,0.009429555684210068,27,25
graph_bfs_size65536_seed0_loads,VLDP,8192,8192,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,SPP,8192,8192,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,GMC,8192,8192,0.16897746967071056,1.1162293878096001,0.6593333333333333,True,graph,16,0.7,5000,0.15166835187057634,0.0,1465.3133333333333,1315.3133333333333,85,7912,109.846,164769,21900,0,0.7482525357564646,1154,959
graph_bfs_size65536_seed0_loads,HashedContext-H16,16384,16512,0.0,1.0026221250660983,0.678,True,graph,16,0.7,5000,0.011799410029498525,0.08333333333333333,2244.0833333333335,2094.0833333333335,105,8136,122.29266666666666,183439,1608,0,0.01688051332587817,1427,1427
graph_bfs_size65536_seed0_loads,Markov-N-H16,16384,16384,0.08571428571428572,1.0022178265300006,0.020666666666666667,True,graph,16,0.7,5000,0.0967741935483871,0.0,1475.0,1325.0,1,248,122.342,183513,438,0,0.01427775157569766,35,32
graph_bfs_size65536_seed0_loads,VLDP,16384,16384,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,SPP,16384,16384,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,GMC,16384,16384,0.16897746967071056,1.1124754271888704,0.6673333333333333,True,graph,16,0.7,5000,0.14085914085914086,0.0,1549.77304964539,1399.77304964539,142,8008,110.21666666666667,165325,20586,0,0.7240855793048627,1154,959
graph_bfs_size65536_seed0_loads,HashedContext-H16,32768,32896,0.0007968127490039841,1.0089860765188006,0.61,True,graph,16,0.7,5000,0.022950819672131147,0.09523809523809523,2171.0,2021.0,142,7320,121.52133333333333,182282,2776,0,0.05784986627227836,1255,1254
graph_bfs_size65536_seed0_loads,Markov-N-H16,32768,32768,0.08064516129032258,1.003689070310624,0.036,True,graph,16,0.7,5000,0.09259259259259259,0.0,1670.2,1520.2,4,432,122.16266666666667,183244,730,0,0.023749210647398187,62,57
graph_bfs_size65536_seed0_loads,VLDP,32768,32768,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
graph_bfs_size65536_seed0_loads,SPP,32768,31136,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,0,0,0.0,0,0
