workload,category,predictor,horizon,budget_bytes,train_fraction,accuracy,prefetch_precision,coverage,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,speedup,cycles_hidden,predictor_overhead,storage_bytes,fraction_of_ideal_gain,trace_length,within_budget,prediction_attempts,wrong_predictions
hash_table_size65536_seed0_loads,hash,SPP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,1.0,0,0,8192,0.0,5000,True,0,0
hash_table_size65536_seed0_loads,hash,GMC,16,8192,0.7,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,3,640,138.22266666666667,207334,0.9996141491506458,0,0,8192,0.0,5000,True,80,80
hash_table_size65536_seed0_loads,hash,DirectWAM-H8,8,8192,0.7,0.0,0.008438818565400843,0.158,0.0,3979.0,3829.0,13,1896,138.13266666666667,207199,1.0002654452965507,292,0,659808,1.0,5000,False,322,322
hash_table_size65536_seed0_loads,hash,DirectWAM-H16,16,8192,0.7,0.0,0.0,0.16133333333333333,0.0,0.0,0.0,10,1936,138.33066666666667,207496,0.9988337124571076,0,0,1325016,0.0,5000,False,322,322
hash_table_size65536_seed0_loads,hash,DirectWAM-H32,32,8192,0.7,0.0,0.004273504273504274,0.156,0.0,2704.0,2554.0,7,1872,138.228,207342,0.9995755804419751,146,0,2641560,0.0,5000,False,316,316
hash_table_size65536_seed0_loads,hash,HashedContext-H8,8,8192,0.7,0.0,0.0007496251874062968,0.8893333333333333,0.0,4268.0,4118.0,26,10672,138.96666666666667,208450,0.9942624130486928,146,0,8256,0.0,5000,True,1484,1484
hash_table_size65536_seed0_loads,hash,HashedContext-H16,16,8192,0.7,0.0,0.001524390243902439,0.8746666666666667,0.0,2728.0,2578.0,13,10496,138.85466666666667,208282,0.9950643838641842,292,0,8320,0.0,5000,True,1479,1479
hash_table_size65536_seed0_loads,hash,HashedContext-H32,32,8192,0.7,0.0,0.0022796352583586625,0.8773333333333333,0.0,1728.6666666666667,1578.6666666666667,16,10528,138.76,208140,0.9957432497357548,438,0,8448,0.0,5000,True,1461,1461
hash_table_size65536_seed0_loads,hash,RecursiveWAM,16,8192,0.7,0.0,0.0,0.16066666666666668,0.0,0.0,0.0,10,1928,138.33,207495,0.9988385262295477,0,0,325776,0.0,5000,False,322,322
hash_table_size65536_seed0_loads,hash,DirectWAM-H16-miss-only,16,8192,0.7,0.0,0.0,0.15866666666666668,0.0,0.0,0.0,5,1904,138.328,207492,0.9988529678252656,0,0,1241544,0.0,5000,False,322,322
linked_list_size65536_seed0_loads,pointer_chasing,NextLine,1,8192,0.7,0.2494996664442962,0.9973333333333333,0.25,1.0,13.0,-137.0,0,3000,38.506,57759,1.0517841375370072,3366,0,8,0.0,5000,True,1499,1125
linked_list_size65536_seed0_loads,pointer_chasing,Stride,1,8192,0.7,0.7505003335557038,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,16,0.0,5000,True,1499,374
linked_list_size65536_seed0_loads,pointer_chasing,Markov-1,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,8192,0.0,5000,True,0,0
linked_list_size65536_seed0_loads,pointer_chasing,Markov-N-H2,2,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,8192,0.0,5000,True,0,0
linked_list_size65536_seed0_loads,pointer_chasing,Markov-N-H4,4,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,8192,0.0,5000,True,0,0
linked_list_size65536_seed0_loads,pointer_chasing,Markov-N-H8,8,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,8192,0.0,5000,True,0,0
linked_list_size65536_seed0_loads,pointer_chasing,Markov-N-H16,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,8192,0.0,5000,True,0,0
linked_list_size65536_seed0_loads,pointer_chasing,VLDP,16,8192,0.7,1.0,1.0,0.24733333333333332,0.2560646900269542,130.33153638814017,-19.66846361185984,0,2968,9.913333333333334,14870,4.085406859448554,46251,0,64,0.0,5000,True,1484,0
linked_list_size65536_seed0_loads,pointer_chasing,SPP,16,8192,0.7,1.0,1.0,0.24733333333333332,0.2560646900269542,130.33153638814017,-19.66846361185984,0,2968,9.913333333333334,14870,4.085406859448554,46251,0,64,0.0,5000,True,1484,0
linked_list_size65536_seed0_loads,pointer_chasing,GMC,16,8192,0.7,1.0,1.0,0.24733333333333332,0.2560646900269542,130.33153638814017,-19.66846361185984,0,2968,9.913333333333334,14870,4.085406859448554,46251,0,976,0.0,5000,True,1484,0
linked_list_size65536_seed0_loads,pointer_chasing,DirectWAM-H8,8,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,544080,0.0,5000,False,0,0
linked_list_size65536_seed0_loads,pointer_chasing,DirectWAM-H16,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,1209552,0.0,5000,False,0,0
linked_list_size65536_seed0_loads,pointer_chasing,DirectWAM-H32,32,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,2526672,0.0,5000,False,0,0
linked_list_size65536_seed0_loads,pointer_chasing,HashedContext-H8,8,8192,0.7,0.0,0.0,0.7653333333333333,0.0,0.0,0.0,0,9184,41.26533333333333,61898,0.9814533587514944,0,0,8256,0.0,5000,True,1480,1480
linked_list_size65536_seed0_loads,pointer_chasing,HashedContext-H16,16,8192,0.7,0.0,0.0,0.768,0.0,0.0,0.0,0,9216,41.268,61902,0.9813899389357371,0,0,8320,0.0,5000,True,1484,1484
linked_list_size65536_seed0_loads,pointer_chasing,HashedContext-H32,32,8192,0.7,0.0,0.0,0.7493333333333333,0.0,0.0,0.0,0,8992,41.24933333333333,61874,0.9818340498432298,0,0,8448,0.0,5000,True,1463,1463
linked_list_size65536_seed0_loads,pointer_chasing,RecursiveWAM,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,209832,0.0,5000,False,0,0
linked_list_size65536_seed0_loads,pointer_chasing,DirectWAM-H16-miss-only,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.5,60750,1.0,0,0,326976,0.0,5000,False,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,NextLine,1,8192,0.7,0.1247498332221481,0.9946808510638298,0.12533333333333332,1.0,28.914438502673796,-121.0855614973262,0,1504,19.318,28977,1.15429478551955,4659,0,8,0.0,5000,True,1499,1312
matrix_scan_size512_seed0_loads,dynamic_programming,Stride,1,8192,0.7,0.875250166777852,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,16,0.0,5000,True,1499,187
matrix_scan_size512_seed0_loads,dynamic_programming,Markov-1,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,6976,0.0,5000,True,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,Markov-N-H2,2,8192,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,8192,0.0,5000,True,4,2
matrix_scan_size512_seed0_loads,dynamic_programming,Markov-N-H4,4,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,8192,0.0,5000,True,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,Markov-N-H8,8,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,8192,0.0,5000,True,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,Markov-N-H16,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,8192,0.0,5000,True,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,VLDP,16,8192,0.7,1.0,1.0,0.124,0.5,106.22043010752688,-43.77956989247312,0,1488,9.775333333333334,14663,2.281115733478824,18971,0,128,0.0,5000,True,1484,0
matrix_scan_size512_seed0_loads,dynamic_programming,SPP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,80,0.0,5000,True,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,GMC,16,8192,0.7,1.0,1.0,0.124,0.5,106.22043010752688,-43.77956989247312,0,1488,9.775333333333334,14663,2.281115733478824,18971,0,1712,0.0,5000,True,1484,0
matrix_scan_size512_seed0_loads,dynamic_programming,DirectWAM-H8,8,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,376656,0.0,5000,False,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,DirectWAM-H16,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,1042512,0.0,5000,False,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,DirectWAM-H32,32,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,2360400,0.0,5000,False,0,0
matrix_scan_size512_seed0_loads,dynamic_programming,HashedContext-H8,8,8192,0.7,0.0,0.0,0.6233333333333333,0.0,0.0,0.0,0,7480,22.922,34383,0.972806328708955,0,0,8256,0.0,5000,True,1492,1492
matrix_scan_size512_seed0_loads,dynamic_programming,HashedContext-H16,16,8192,0.7,0.0,0.0,0.5846666666666667,0.0,0.0,0.0,0,7016,22.883333333333333,34325,0.9744501092498179,0,0,8320,0.0,5000,True,1482,1482
matrix_scan_size512_seed0_loads,dynamic_programming,HashedContext-H32,32,8192,0.7,0.0,0.0,0.5706666666666667,0.0,0.0,0.0,0,6848,22.869333333333334,34304,0.9750466417910447,0,0,8448,0.0,5000,True,1468,1468
matrix_scan_size512_seed0_loads,dynamic_programming,RecursiveWAM,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,104952,0.0,5000,False,4,4
matrix_scan_size512_seed0_loads,dynamic_programming,DirectWAM-H16-miss-only,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.298666666666666,33448,1.0,0,0,159168,0.0,5000,False,0,0
pointer_chase_size65536_seed0_loads,pointer_chasing,NextLine,1,8192,0.7,0.0,0.0,0.638,0.0,0.0,0.0,0,7656,20.55,30825,0.9689537712895377,0,0,8,0.0,5000,True,1499,1499
pointer_chase_size65536_seed0_loads,pointer_chasing,Stride,1,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.912,29868,1.0,0,0,16,0.0,5000,True,0,0
pointer_chase_size65536_seed0_loads,pointer_chasing,Markov-1,16,8192,0.7,1.0,1.0,0.38133333333333336,0.3723776223776224,241.3618881118881,91.3618881118881,0,4576,15.468666666666667,23203,1.2872473387062018,81895,0,2720,1.0,5000,True,1484,0
pointer_chase_size65536_seed0_loads,pointer_chasing,Markov-N-H2,2,8192,0.7,1.0,1.0,0.976,0.9713114754098361,77.98907103825137,-72.01092896174863,0,11712,75.636,113454,0.2632608810619282,108318,0,5472,0.0,5000,True,1498,0
pointer_chase_size65536_seed0_loads,pointer_chasing,Markov-N-H4,4,8192,0.7,1.0,1.0,0.952,0.957983193277311,116.23389355742297,-33.76610644257703,0,11424,38.165333333333336,57248,0.5217300167691448,159796,0,8192,0.0,5000,True,1496,0
pointer_chase_size65536_seed0_loads,pointer_chasing,Markov-N-H8,8,8192,0.7,1.0,1.0,0.736,0.9547101449275363,138.6159420289855,-11.384057971014492,0,8832,19.444,29166,1.0240691215799218,145326,0,8192,1.0331316480511135,5000,True,1104,0
