workload,category,train_fraction,horizon,oracle_speedup,ideal_wam_speedup,baseline_cycles,oracle_cycles,depth,empirical_oracle_accuracy,coverage,perfect_speedup,perfect_cycles
graph_dfs_size16384_seed0_loads,graph,0.5,32,2.491869281676049,1.0060983622514783,206718,82957,,,,,
graph_dfs_size16384_seed0_loads,graph,0.7,1,0.7006521642024389,0.992219375652339,125484,179096,,,,,
graph_dfs_size16384_seed0_loads,graph,0.7,4,2.217110145234814,1.0096146883473196,125484,56598,,,,,
graph_dfs_size16384_seed0_loads,graph,0.7,8,4.16323280581268,1.006763424555323,125484,30141,,,,,
graph_dfs_size16384_seed0_loads,graph,0.7,16,3.146934169278997,1.0049493056556629,125484,39875,,,,,
graph_dfs_size16384_seed0_loads,graph,0.7,32,2.3471185679815947,1.0152262908367178,125484,53463,,,,,
graph_dfs_size16384_seed0_loads,graph,0.8,1,0.7437248328100332,0.992061332418395,83852,112746,,,,,
graph_dfs_size16384_seed0_loads,graph,0.8,4,2.254328422411012,1.0177325193285673,83852,37196,,,,,
graph_dfs_size16384_seed0_loads,graph,0.8,8,4.166351982510186,1.0237464441378636,83852,20126,,,,,
graph_dfs_size16384_seed0_loads,graph,0.8,16,3.099659914239243,1.0090371957016162,83852,27052,,,,,
graph_dfs_size16384_seed0_loads,graph,0.8,32,2.4012600229095074,1.0197871693523868,83852,34920,,,,,
graph_dfs_size16384_seed0_loads,,,1,,,,,1,0.0,0.5003335557038026,0.7006521642024389,179096
graph_dfs_size16384_seed0_loads,,,4,,,,,1,0.0,0.5,2.217110145234814,56598
graph_dfs_size16384_seed0_loads,,,8,,,,,1,0.0,0.5,4.16323280581268,30141
graph_dfs_size16384_seed0_loads,,,16,,,,,1,0.0,0.5,3.146934169278997,39875
graph_dfs_size16384_seed0_loads,,,32,,,,,1,0.0,0.5,2.3471185679815947,53463
graph_dfs_size16384_seed0_loads,,,1,,,,,2,0.0,0.0,0.7006521642024389,179096
graph_dfs_size16384_seed0_loads,,,4,,,,,2,0.0,0.0,2.217110145234814,56598
graph_dfs_size16384_seed0_loads,,,8,,,,,2,0.0,0.0,4.16323280581268,30141
graph_dfs_size16384_seed0_loads,,,16,,,,,2,0.0,0.0,3.146934169278997,39875
graph_dfs_size16384_seed0_loads,,,32,,,,,2,0.0,0.0,2.3471185679815947,53463
graph_dfs_size16384_seed0_loads,,,1,,,,,4,0.0,0.0,0.7006521642024389,179096
graph_dfs_size16384_seed0_loads,,,4,,,,,4,0.0,0.0,2.217110145234814,56598
graph_dfs_size16384_seed0_loads,,,8,,,,,4,0.0,0.0,4.16323280581268,30141
graph_dfs_size16384_seed0_loads,,,16,,,,,4,0.0,0.0,3.146934169278997,39875
graph_dfs_size16384_seed0_loads,,,32,,,,,4,0.0,0.0,2.3471185679815947,53463
graph_dfs_size16384_seed0_loads,,,1,,,,,8,0.0,0.0,0.7006521642024389,179096
graph_dfs_size16384_seed0_loads,,,4,,,,,8,0.0,0.0,2.217110145234814,56598
graph_dfs_size16384_seed0_loads,,,8,,,,,8,0.0,0.0,4.16323280581268,30141
graph_dfs_size16384_seed0_loads,,,16,,,,,8,0.0,0.0,3.146934169278997,39875
graph_dfs_size16384_seed0_loads,,,32,,,,,8,0.0,0.0,2.3471185679815947,53463
graph_dfs_size16384_seed0_loads,,,1,,,,,16,0.0,0.0,0.7006521642024389,179096
graph_dfs_size16384_seed0_loads,,,4,,,,,16,0.0,0.0,2.217110145234814,56598
graph_dfs_size16384_seed0_loads,,,8,,,,,16,0.0,0.0,4.16323280581268,30141
graph_dfs_size16384_seed0_loads,,,16,,,,,16,0.0,0.0,3.146934169278997,39875
graph_dfs_size16384_seed0_loads,,,32,,,,,16,0.0,0.0,2.3471185679815947,53463
hash_table_size65536_seed0_loads,hash,0.5,1,0.9409148873557205,0.9995802661402142,345312,366996,,,,,
hash_table_size65536_seed0_loads,hash,0.5,4,3.6255131502966034,0.9991261928046896,345312,95245,,,,,
hash_table_size65536_seed0_loads,hash,0.5,8,7.019535299737767,0.9995773726473262,345312,49193,,,,,
hash_table_size65536_seed0_loads,hash,0.5,16,3.373142784577664,0.9991377564306588,345312,102371,,,,,
hash_table_size65536_seed0_loads,hash,0.5,32,2.5547631026012843,0.9995802661402142,345312,135164,,,,,
hash_table_size65536_seed0_loads,hash,0.7,1,0.9470312457161657,1.0004392676298375,207254,218846,,,,,
hash_table_size65536_seed0_loads,hash,0.7,4,3.6266820655502476,0.9988337124571076,207254,57147,,,,,
hash_table_size65536_seed0_loads,hash,0.7,8,6.89720123797797,1.0002654452965507,207254,30049,,,,,
hash_table_size65536_seed0_loads,hash,0.7,16,3.4230267395576988,0.9988337124571076,207254,60547,,,,,
hash_table_size65536_seed0_loads,hash,0.7,32,2.5055186837365055,0.9995755804419751,207254,82719,,,,,
hash_table_size65536_seed0_loads,hash,0.8,1,0.9553881410124463,1.0010712103238795,139244,145746,,,,,
hash_table_size65536_seed0_loads,hash,0.8,4,3.6357085041384893,0.9986874852073128,139244,38299,,,,,
hash_table_size65536_seed0_loads,hash,0.8,8,6.84750430292599,1.0007906047407535,139244,20335,,,,,
hash_table_size65536_seed0_loads,hash,0.8,16,3.3558431542669847,0.9986874852073128,139244,41493,,,,,
hash_table_size65536_seed0_loads,hash,0.8,32,2.4553694233821197,1.000819377560555,139244,56710,,,,,
hash_table_size65536_seed0_loads,,,1,,,,,1,0.0,0.21547698465643764,0.9470312457161657,218846
hash_table_size65536_seed0_loads,,,4,,,,,1,0.0,0.21524064171122995,3.6266820655502476,57147
hash_table_size65536_seed0_loads,,,8,,,,,1,0.0,0.2158176943699732,6.89720123797797,30049
hash_table_size65536_seed0_loads,,,16,,,,,1,0.0,0.2169811320754717,3.4230267395576988,60547
hash_table_size65536_seed0_loads,,,32,,,,,1,0.0,0.21525885558583105,2.5055186837365055,82719
